Title,Artist,Nationality,BeginDatepos,BeginDate,EndDatepos,EndDate,Gender,moma,count,Date,MediumA,Medium,Dimensions,CreditLine,Classification,Department,  Acquired Year,DateAcquired,URL,ThumbnailURL,Height,Width ,HxWcm
Untitled from Self-Portrait in a Convex Mirror,Elaine de Kooning,(American),1920,-1920,1989,-1989,(Female),1,,1984,Mixed Printmaking,"Lithograph from an illustrated book with four lithographs, one offset lithograph, one woodcut, one etching with aquatint, one photogravure with hand additions, and one record","composition and sheet (diameter, approx.): 17 15/16"" (45.5 cm)",Given anonymously in memory of Arnold and Miriam Elkind,Illustrated Book,Drawings & Prints,1995,1/24/95,http://www.moma.org/collection/works/10859,http://www.moma.org/media/W1siZiIsIjI1OTI5MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f521b55c2430a0cd,45.5,0,
Plate (folio 35 verso) from In Memory of My Feelings,Elaine de Kooning,(American),1920,-1920,1989,-1989,(Female),2,,1967,Lithograph,One from an illustrated book with forty-six lithographs,"composition (irreg.): 8 13/16 x 7 5/16"" (22.4 x 18.5cm); page: 11 15/16 x 9"" (30.4 x 22.8 cm)",Gift of The Museum of Modern Art Department of Publications,Illustrated Book,Drawings & Prints,1968,2/5/68,http://www.moma.org/collection/works/11174,http://www.moma.org/media/W1siZiIsIjMwMzMyNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=7cc3f86dddb47f3c,22.4,18.5,414.4
Bullfight,Elaine de Kooning,(American),1920,-1920,1989,-1989,(Female),3,,1960,Acrylic,Acrylic on paper,"19 1/4 x 24 5/8"" (49 x 62.5 cm)",Larry Aldrich Foundation Fund,Drawing,Drawings & Prints,1961,4/11/61,http://www.moma.org/collection/works/34171,http://www.moma.org/media/W1siZiIsIjE2OTA0NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=beed3eee2d5dcb75,48.9,62.5,3056.25
Torchlight Cave Drawing VII,Elaine de Kooning,(American),1920,-1920,1989,-1989,(Female),4,,1985,Aquatint,Aquatint,"plate: 11 15/16 × 14 13/16"" (30.4 × 37.7 cm); sheet (irreg.): 20 1/16 × 26 1/8"" (51 × 66.3 cm)",Gift of Crown Point Press in celebration of its 25th anniversary,Print,Drawings & Prints,1987,5/14/87,http://www.moma.org/collection/works/63105,http://www.moma.org/media/W1siZiIsIjIxNTA4OCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=839e352e8a249caf,30.4,37.7,1146.08
Les Eyzies,Elaine de Kooning,(American),1920,-1920,1989,-1989,(Female),5,,1985,Aquatint,Aquatint,"plate: 24 3/16 × 36 1/16"" (61.4 × 91.6 cm); sheet: 30 3/4 × 44 5/16"" (78.1 × 112.6 cm)",Gift of Mr. and Mrs. Edmond Luyckx,Print,Drawings & Prints,1986,1/9/86,http://www.moma.org/collection/works/69644,http://www.moma.org/media/W1siZiIsIjM5NDI3NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=36b0f44bd9b4e659,61.4,91.6,5624.24
Preparatory drawing for In Memory of My Feelings,Elaine de Kooning,(American),1920,-1920,1989,-1989,(Female),6,,1967,Ink,Ink on acetate,"13 7/8 x 11"" (35.3 x 27.9 cm)",Gift of the artist,Drawing,Drawings & Prints,1967,10/18/67,http://www.moma.org/collection/works/108221,http://www.moma.org/media/W1siZiIsIjMwOTAyNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=43634e764a9ab5cb,35.3,27.9,984.87
Unused preparatory drawing for In Memory of My Feelings,Elaine de Kooning,(American),1920,-1920,1989,-1989,(Female),7,,1967,Ink,Ink on acetate,"13 15/16 x 11"" (35.4 x 27.9 cm)",Gift of the artist,Drawing,Drawings & Prints,1967,10/18/67,http://www.moma.org/collection/works/125390,http://www.moma.org/media/W1siZiIsIjMwOTAyNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=527dd31f2e9964d2,35.4,27.9,987.66
Unused preparatory drawing for In Memory of My Feelings,Elaine de Kooning,(American),1920,-1920,1989,-1989,(Female),8,,1967,Ink,Ink on acetate,"13 15/16 x 11"" (35.4 x 27.9 cm)",Gift of the artist,Drawing,Drawings & Prints,1967,10/18/67,http://www.moma.org/collection/works/125391,http://www.moma.org/media/W1siZiIsIjMwOTAzMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=f3e4327b189ec67f,35.4,27.9,987.66
Unused preparatory drawing for In Memory of My Feelings,Elaine de Kooning,(American),1920,-1920,1989,-1989,(Female),9,,1967,Ink,Ink on acetate,"13 7/8 x 11"" (35.3 x 27.9 cm)",Gift of the artist,Drawing,Drawings & Prints,1967,10/18/67,http://www.moma.org/collection/works/125392,http://www.moma.org/media/W1siZiIsIjMwOTk4NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=8b31fb51f726d4db,35.3,27.9,984.87
Unused preparatory drawing for In Memory of My Feelings,Elaine de Kooning,(American),1920,-1920,1989,-1989,(Female),10,,1967,Mixed media,Ink and charcoal on acetate,"13 15/16 x 11"" (35.4 x 27.9 cm)",Gift of the artist,Drawing,Drawings & Prints,1967,10/18/67,http://www.moma.org/collection/works/125394,http://www.moma.org/media/W1siZiIsIjMwOTAzMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDMwMHgzMDBcdTAwM2UiXV0.jpg?sha=eecaa2bf5f5a49c3,35.4,27.9,987.66
