date,state,totalcases,conf_cases,prob_cases,newcase,pnew_case,totdeath,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
"Friday, April 10, 2020",CT,10131,,,347,,444,,,64,,4/9/20 16:22,Agree,Agree
"Friday, April 10, 2020",DC,1660,,,137,,38,,,6,,4/9/20 16:22,,
"Friday, April 10, 2020",DE,1474,1450,24,154,4,32,,,9,,4/12/20 0:00,Agree,Agree
"Friday, April 10, 2020",MA,20845,,,1904,,858,843,15,109,2,4/12/20 0:00,Agree,Agree
"Friday, April 10, 2020",MD,6968,,,0,,258,248,10,34,0,4/12/20 0:00,N/A,Agree
"Friday, April 10, 2020",ME,583,,,23,,17,,,1,,4/9/20 16:22,Agree,Agree
"Friday, April 10, 2020",NH,885,,,66,,22,,,1,,4/9/20 16:22,Not agree,Not agree
"Friday, April 10, 2020",NJ,54588,,,3561,,1932,,,232,,4/9/20 16:22,Agree,Agree
"Friday, April 10, 2020",NY,78128,,,5218,,2024,,,237,,4/9/20 16:22,Not agree,Not agree
"Friday, April 10, 2020",NYC,109547,107671,1876,5776,199,8336,6467,1869,767,199,4/8/20 0:00,Agree,Agree
"Friday, April 10, 2020",RI,2200,,,286,0,59,,,7,0,12/3/21 13:45,Not agree,N/A
"Friday, April 10, 2020",VT,631,,,47,0,26,,,2,0,4/12/20 0:00,Not agree,Not agree
"Friday, April 16, 2021",CT,329062,302775,26287,1062,208,7995,6578,1417,5,1,4/17/21 13:58,Agree,Agree
"Friday, April 16, 2021",DC,46449,,,134,0,1093,,,3,0,4/17/21 13:58,,
"Friday, April 16, 2021",DE,101400,94904,6496,445,61,1596,1456,140,1,0,4/18/21 0:00,Agree,Agree
"Friday, April 16, 2021",MA,669282,628512,40770,2216,254,17455,17105,350,9,0,4/18/21 0:00,Agree,Agree
"Friday, April 16, 2021",MD,434859,,,-64,-1564,9081,8873,208,10,0,4/18/21 0:00,N/A,Agree
"Friday, April 16, 2021",ME,56939,42807,14132,413,185,764,740,24,1,0,4/17/21 13:58,Agree,Agree
"Friday, April 16, 2021",NH,90910,,,385,154,1266,,,2,1,4/17/21 13:58,Not agree,Not agree
"Friday, April 16, 2021",NJ,971782,852330,119452,4381,617,25094,22502,2592,41,0,4/17/21 13:58,Agree,Agree
"Friday, April 16, 2021",NY,1085444,,,3129,0,19141,,,19,0,4/17/21 13:58,Not agree,Not agree
"Friday, April 16, 2021",NYC,904249,749103,155146,2896,651,32087,27058,5029,38,2,4/14/21 0:00,Agree,Agree
"Friday, April 16, 2021",RI,144017,,,463,0,2656,,,2,0,12/3/21 13:45,Not agree,N/A
"Friday, April 16, 2021",VT,20391,,,129,4,238,,,1,0,4/18/21 0:00,Not agree,Not agree
"Friday, April 17, 2020",CT,16809,,,925,,1036,,,65,,4/17/20 16:22,Agree,Agree
"Friday, April 17, 2020",DC,2476,,,126,,86,,,5,,4/17/20 16:22,,
"Friday, April 17, 2020",DE,2522,2488,34,286,3,61,,,9,,4/19/20 0:00,Agree,Agree
"Friday, April 17, 2020",MA,34402,,,2221,,1938,1881,57,175,8,4/19/20 0:00,Agree,Agree
"Friday, April 17, 2020",MD,11572,,,0,0,544,517,27,42,1,4/19/20 0:00,N/A,Agree
"Friday, April 17, 2020",ME,827,,,31,,29,,,2,,4/17/20 16:22,Agree,Agree
"Friday, April 17, 2020",NH,1287,,,76,,37,,,3,,4/17/20 16:22,Not agree,Not agree
"Friday, April 17, 2020",NJ,78467,,,3150,,3840,,,322,,4/17/20 16:22,Agree,Agree
"Friday, April 17, 2020",NY,102290,,,3152,,3560,,,313,,4/17/20 16:22,Not agree,Not agree
"Friday, April 17, 2020",NYC,138230,135204,3026,3980,105,13228,10210,3018,558,105,4/15/20 0:00,Agree,Agree
"Friday, April 17, 2020",RI,4314,,,384,0,139,,,14,0,12/3/21 13:45,Not agree,N/A
"Friday, April 17, 2020",VT,729,,,11,0,35,,,0,0,4/19/20 0:00,Not agree,Not agree
"Friday, April 2, 2021",CT,313956,289591,24365,1488,74,7904,6497,1407,4,-1,4/3/21 13:51,Agree,Agree
"Friday, April 2, 2021",DC,44807,,,151,0,1069,,,3,0,4/3/21 13:51,,
"Friday, April 2, 2021",DE,96772,91045,5727,486,81,1565,1426,139,6,0,4/4/21 0:00,Agree,Agree
"Friday, April 2, 2021",MA,640779,602792,37987,2440,280,17301,16957,344,28,0,4/4/21 0:00,Agree,Agree
"Friday, April 2, 2021",MD,414385,,,0,0,8861,8655,206,16,0,4/4/21 0:00,N/A,Agree
"Friday, April 2, 2021",ME,51470,39347,12123,279,87,745,722,23,1,0,4/3/21 13:51,Agree,Agree
"Friday, April 2, 2021",NH,85010,,,471,0,1245,,,0,0,4/3/21 13:51,Not agree,Not agree
"Friday, April 2, 2021",NJ,918951,807970,110981,4529,596,24615,22047,2568,24,0,4/3/21 13:51,Agree,Agree
"Friday, April 2, 2021",NY,1034732,,,3993,0,18836,,,22,0,4/3/21 13:51,Not agree,Not agree
"Friday, April 2, 2021",NYC,860452,715854,144598,4170,993,31387,26381,5006,64,3,3/31/21 0:00,Agree,Agree
"Friday, April 2, 2021",RI,138238,,,441,0,2633,,,2,0,12/3/21 13:45,Not agree,N/A
"Friday, April 2, 2021",VT,18421,,,195,5,226,,,1,0,4/4/21 0:00,Not agree,Not agree
"Friday, April 23, 2021",CT,334766,307604,27162,1034,210,8047,6617,1430,8,5,4/24/21 14:22,Agree,Agree
"Friday, April 23, 2021",DC,47141,,,101,0,1099,,,1,0,4/24/21 14:22,,
"Friday, April 23, 2021",DE,103592,96808,6784,333,54,1609,1468,141,5,0,4/25/21 0:00,Agree,Agree
"Friday, April 23, 2021",MA,680007,637928,42079,1621,169,17531,17180,351,8,0,4/25/21 0:00,Agree,Agree
"Friday, April 23, 2021",MD,442351,,,2359,0,9204,8994,210,17,0,4/25/21 0:00,N/A,Agree
"Friday, April 23, 2021",ME,59612,44532,15080,373,127,772,747,25,1,0,4/24/21 14:22,Agree,Agree
"Friday, April 23, 2021",NH,93231,,,320,111,1281,,,7,1,4/24/21 14:22,Not agree,Not agree
"Friday, April 23, 2021",NJ,993414,870986,122428,2834,389,25328,22717,2611,27,0,4/24/21 14:22,Agree,Agree
"Friday, April 23, 2021",NY,1104946,,,2770,0,19288,,,20,0,4/24/21 14:22,Not agree,Not agree
"Friday, April 23, 2021",NYC,919136,760180,158956,1959,542,32355,27314,5041,37,1,4/21/21 0:00,Agree,Agree
"Friday, April 23, 2021",RI,146148,,,298,0,2666,,,1,0,12/3/21 13:45,Not agree,N/A
"Friday, April 23, 2021",VT,20975,,,81,4,239,,,1,0,4/25/21 0:00,Not agree,Not agree
"Friday, April 24, 2020",CT,23921,23921,0,821,0,1764,1764,0,125,0,5/25/20 15:38,Agree,Agree
"Friday, April 24, 2020",DC,3528,,,167,0,153,,,14,0,5/25/20 15:38,,
"Friday, April 24, 2020",DE,3715,3664,51,136,1,100,100,0,0,-10,6/3/21 13:36,Agree,Agree
"Friday, April 24, 2020",MA,50969,50969,0,4946,0,3194,3104,90,203,6,5/12/21 13:46,Agree,Agree
"Friday, April 24, 2020",MD,16616,,,0,0,908,862,46,68,4,6/1/21 14:14,N/A,Agree
"Friday, April 24, 2020",ME,965,965,0,28,0,47,47,0,3,0,5/25/20 15:38,Agree,Agree
"Friday, April 24, 2020",NH,1720,,,50,0,53,,,2,0,5/25/20 15:38,Not agree,Not agree
"Friday, April 24, 2020",NJ,102196,102196,0,2207,0,5617,5617,0,249,0,5/25/20 15:38,Agree,Agree
"Friday, April 24, 2020",NY,121117,,,3512,0,4552,,,145,0,5/25/20 15:38,Not agree,Not agree
"Friday, April 24, 2020",NYC,160863,157138,3725,3529,82,16510,12793,3717,393,82,6/7/21 14:25,Agree,Agree
"Friday, April 24, 2020",RI,6794,,,423,0,247,,,15,0,12/3/21 13:45,Not agree,N/A
"Friday, April 24, 2020",VT,766,,,3,0,47,,,2,0,6/30/21 13:48,Not agree,Not agree
"Friday, April 3, 2020",CT,4915,,,1091,,132,,,20,,4/3/20 16:22,Agree,Agree
"Friday, April 3, 2020",DC,757,,,104,,15,,,3,,4/3/20 16:22,,
"Friday, April 3, 2020",DE,655,651,4,172,0,14,,,2,,4/5/20 0:00,Agree,Agree
"Friday, April 3, 2020",MA,10402,,,1436,,273,268,5,39,1,4/5/20 0:00,Agree,Agree
"Friday, April 3, 2020",MD,2758,,,427,,86,81,5,20,1,4/5/20 0:00,N/A,Agree
"Friday, April 3, 2020",ME,432,,,56,,9,,,2,,4/3/20 16:22,Agree,Agree
"Friday, April 3, 2020",NH,540,,,61,,7,,,2,,4/3/20 16:22,Not agree,Not agree
"Friday, April 3, 2020",NJ,29895,,,4305,,646,,,109,,4/3/20 16:22,Agree,Agree
"Friday, April 3, 2020",NY,45704,,,5132,,508,,,113,,4/3/20 16:22,Not agree,Not agree
"Friday, April 3, 2020",NYC,71178,70637,541,5550,102,3174,2639,535,549,102,4/1/20 0:00,Agree,Agree
"Friday, April 3, 2020",RI,747,,,65,0,16,,,4,0,12/3/21 13:45,Not agree,N/A
"Friday, April 3, 2020",VT,364,,,29,0,18,,,1,0,4/5/20 0:00,Not agree,Not agree
