cycle,state,senate_class,start_date,end_date,DEM_poll,REP_poll,DEM_result,REP_result,error,absolute_error
2004,AK,3,8/27/04,8/30/04,46,45,45.55,48.58,-4.03,4.03
2008,AK,2,8/9/08,8/12/08,56,39,47.77,46.52,-15.75,15.75
2010,AK,3,8/31/10,8/31/10,44,50,23.46,35.49,-6.03,6.03
2010,AK,3,8/27/10,8/28/10,22,38,23.46,35.49,3.97,3.97
2010,AK,3,8/27/10,8/28/10,28,60,23.46,35.49,19.97,19.97
2010,AK,3,8/27/10,8/28/10,39,47,23.46,35.49,-4.03,4.03
2014,AK,2,8/24/14,8/27/14,41,40,45.83,47.96,-3.13,3.13
2014,AK,2,8/20/14,8/21/14,45,47,45.83,47.96,-0.13,0.13
2014,AK,2,8/13/14,8/13/14,31,42,45.83,47.96,8.87,8.87
2014,AK,2,7/31/14,8/3/14,44,39,45.83,47.96,-7.13,7.13
2016,AK,3,8/27/16,8/29/16,12,56,11.62,44.36,11.26,11.26
1992,AL,3,8/3/92,8/5/92,62,16,64.82,33.09,-14.27,14.27
2010,AL,3,8/19/10,8/19/10,28,60,34.71,65.18,1.53,1.53
1996,AR,2,7/31/96,8/1/96,35,41,47.3,52.7,0.6,0.6
2002,AR,2,8/19/02,8/24/02,51,41,53.9,46.1,-2.2,2.2
2002,AR,2,8/8/02,8/11/02,43,46,53.9,46.1,10.8,10.8
2004,AR,3,8/20/04,8/22/04,58,34,55.9,44.07,-12.17,12.17
2010,AR,3,8/18/10,8/18/10,27,65,36.95,57.9,17.05,17.05
2014,AR,2,8/25/14,8/26/14,44,43,39.43,56.5,-18.07,18.07
2014,AR,2,8/6/14,8/14/14,46,41,39.43,56.5,-22.07,22.07
2014,AR,2,8/1/14,8/3/14,40,42,39.43,56.5,-15.07,15.07
1992,AZ,3,8/29/92,8/30/92,23,52,31.57,55.82,4.75,4.75
1992,AZ,3,8/14/92,8/17/92,29,50,31.57,55.82,-3.25,3.25
2006,AZ,1,8/24/06,8/24/06,35,52,43.5,53.34,7.16,7.16
2006,AZ,1,8/24/06,8/29/06,36,46,43.5,53.34,0.16,0.16
2006,AZ,1,8/15/06,8/21/06,44.2,48.3,43.5,53.34,-5.74,5.74
2010,AZ,3,8/25/10,8/25/10,31,53,34.55,58.69,-2.14,2.14
2016,AZ,3,8/26/16,8/28/16,43,43,40.75,53.71,-12.96,12.96
2016,AZ,3,8/18/16,8/23/16,39,52,40.75,53.71,0.04,0.04
1998,CA,3,8/18/98,8/24/98,45,45,53.06,43.01,10.05,10.05
1998,CA,3,7/9/98,8/1/98,40,40,53.06,43.01,10.05,10.05
2000,CA,1,8/14/00,8/16/00,52,33,55.84,36.59,0.25,0.25
2000,CA,1,8/14/00,8/16/00,51,34,55.84,36.59,2.25,2.25
2004,CA,3,8/16/04,8/18/04,48,42,57.71,37.8,13.91,13.91
2004,CA,3,8/9/04,8/11/04,52,38,57.71,37.8,5.91,5.91
2004,CA,3,8/4/04,8/11/04,53,36,57.71,37.8,2.91,2.91
2004,CA,3,7/30/04,8/5/04,50,33,57.71,37.8,2.91,2.91
2006,CA,1,8/25/06,8/27/06,56,34,59.43,35.02,2.41,2.41
2006,CA,1,8/22/06,8/22/06,56,34,59.43,35.02,2.41,2.41
2010,CA,3,8/24/10,8/24/10,49,44,52.18,42.17,5.01,5.01
2010,CA,3,8/9/10,8/11/10,42,47,52.18,42.17,15.01,15.01
2010,CA,3,8/3/10,8/3/10,45,40,52.18,42.17,5.01,5.01
1990,CO,2,8/7/90,8/10/90,26,54,41.66,55.68,13.98,13.98
1990,CO,2,8/4/90,8/8/90,28,48,41.66,55.68,5.98,5.98
1992,CO,3,8/3/92,8/5/92,56,24,51.78,42.7,-22.92,22.92
1992,CO,3,7/30/92,8/1/92,44,35,51.78,42.7,0.08,0.08
1996,CO,2,8/4/96,8/6/96,42,43,46.11,51.06,-3.95,3.95
2002,CO,2,8/25/02,8/27/02,35,46,45.77,50.7,6.07,6.07
2004,CO,3,8/24/04,8/26/04,47,43,51.3,46.53,0.77,0.77
2004,CO,3,8/19/04,8/19/04,49,45,51.3,46.53,0.77,0.77
2004,CO,3,8/14/04,8/16/04,47,48,51.3,46.53,5.77,5.77
2008,CO,2,8/23/08,8/24/08,41,38,52.8,42.49,7.31,7.31
2008,CO,2,8/21/08,8/24/08,39,31,52.8,42.49,2.31,2.31
2008,CO,2,8/13/08,8/13/08,50,42,52.8,42.49,2.31,2.31
2008,CO,2,8/13/08,8/15/08,47,37,52.8,42.49,0.31,0.31
2008,CO,2,8/11/08,8/13/08,44,38,52.8,42.49,4.31,4.31
2008,CO,2,8/5/08,8/7/08,47,41,52.8,42.49,4.31,4.31
